RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,37,1776.567465,1789.639639,1806.943123,1821.038513,1836.703405,1846.670205,1860.888748,1871.260002,1883.677395,1889.486192,1897.080774,1904.505256,1915.391876,1928.299318,1942.741245,1956.373427,1969.415428,1979.893416,1988.69988,1995.5729,2001.443142,2002.747875,2000.003799,1998.926536,2017.418215,2037.98123,2065.005225,2077.255141,2092.866133,2102.379275,2112.783521,2119.085584,2124.619102,2127.149201,2130.532867,2135.984002,2145.923257,2160.310461,2171.591437,2183.649945,2193.128581,2206.708154,2218.207032,2228.817927,2234.586201,2238.768433,2243.926865,2248.515615,2255.018566,2259.179368,2272.465003,2284.28598,2297.965401,2308.029256,2316.212939,2322.680879,2325.830595,2327.236542,2328.268364,2331.216045,2338.056694,2342.306535,2343.448573,2334.059054,2325.648216,2319.427356,2320.226957,2319.99428,2316.358279,2313.102787,2312.426333,2309.790113,2309.667004,2312.175378,2322.130637,2334.998203,2355.191192,2387.767306,2426.538764,2468.433809,2500.64236,2525.709976,2540.2547,2558.519369,2576.880375,2601.798839,2624.739112,2651.723128,2678.382269,2700.676607,2722.204591,2739.528992,2751.143745,2750.247205,2743.671467,2738.876876,2737.46747,2747.028772,2757.5036,2771.995961,2777.228511,2785.536906,2792.929868,2801.705622,2803.596024,2800.984907,2790.870323,2783.335135,2785.102892
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,31,1445.120815,1454.748128,1466.087417,1475.767176,1487.642516,1497.095281,1503.401933,1505.866029,1500.328947,1491.939122,1483.211032,1482.396407,1491.933371,1503.354268,1516.967229,1525.548054,1535.660186,1546.285133,1553.885675,1558.506001,1550.768621,1535.406475,1515.235745,1503.365155,1513.432356,1533.29822,1556.790286,1568.512264,1579.776676,1585.990726,1587.922968,1582.430072,1573.834437,1561.658083,1552.609743,1551.615159,1560.529329,1574.188618,1586.654442,1597.969467,1608.280647,1617.744072,1622.294856,1618.846811,1606.304065,1593.250399,1585.696448,1586.322783,1595.525904,1607.026854,1624.188485,1638.302512,1650.479699,1658.398839,1661.790528,1663.139225,1657.880559,1649.711201,1640.109741,1634.634483,1644.159557,1657.368277,1671.805024,1671.880866,1669.495346,1665.88923,1663.501742,1654.390307,1635.870508,1610.327717,1589.872763,1579.113736,1577.292221,1586.017081,1605.781562,1636.009818,1665.787235,1690.845581,1708.519259,1719.635944,1722.908131,1722.066893,1720.37976,1726.993284,1742.370193,1762.773881,1785.59096,1808.392695,1833.402971,1853.074064,1870.073961,1876.212392,1876.408583,1873.56593,1868.355013,1869.36448,1875.722025,1889.109984,1906.225543,1925.106443,1950.088286,1970.440023,1982.117579,1987.074699,1981.658545,1969.576929,1958.412818,1960.957242,1973.616367
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1206.425013,1209.628513,1215.815617,1227.497588,1237.656451,1247.148052,1248.146174,1249.19098,1244.379722,1240.876776,1237.754629,1237.80625,1239.246739,1240.898945,1246.306592,1251.698684,1255.580321,1255.266255,1252.957828,1247.886752,1240.099824,1229.240915,1218.964325,1213.492106,1222.569669,1236.567448,1251.447916,1254.920934,1262.660768,1263.363388,1264.434036,1259.802054,1266.959189,1275.747171,1287.589115,1296.664735,1298.476951,1304.035469,1302.973574,1311.815376,1313.463581,1319.142588,1318.118496,1316.940032,1312.605329,1311.291661,1313.015118,1313.681285,1315.270193,1313.252118,1318.530439,1324.005183,1333.775974,1340.958737,1344.720482,1344.246184,1340.68629,1339.962199,1339.310462,1343.028996,1346.117281,1352.896355,1358.88444,1355.581507,1349.063363,1342.108372,1345.785802,1349.354465,1349.990955,1351.160034,1353.579926,1353.780183,1353.404359,1349.3748,1354.756768,1366.953822,1390.027255,1417.615516,1442.161882,1463.995599,1476.665947,1485.202859,1489.877721,1493.371854,1499.810582,1508.4984,1518.755606,1530.313623,1541.454856,1556.35237,1567.510833,1575.603662,1573.027272,1569.290736,1565.35756,1563.38943,1568.604384,1575.075864,1585.256501,1589.906146,1599.097788,1608.36628,1615.989129,1617.336094,1615.528413,1610.872183,1606.715132,1606.000454,1608.716707
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",4,13,955.5785696,971.1712604,978.7639763,991.8499963,991.6554682,998.9718658,999.2472447,1000.776685,1004.370938,1007.265584,1010.634808,1012.217428,1017.655902,1022.92271,1030.953144,1044.739951,1054.65164,1061.871633,1058.641457,1058.098744,1058.721128,1059.617193,1061.454923,1061.777329,1066.588867,1074.060356,1085.388752,1096.04904,1106.591142,1113.79232,1119.325956,1121.803593,1123.955933,1127.412091,1130.51593,1133.410316,1136.541615,1143.741742,1156.057147,1169.926435,1181.271387,1189.465995,1196.795011,1202.824314,1208.35027,1212.208783,1217.188638,1223.487348,1228.006194,1237.161688,1247.036833,1262.371688,1274.448685,1286.317696,1295.305566,1303.19997,1308.512444,1311.911945,1317.044002,1324.064936,1334.099314,1343.919135,1349.929493,1348.824692,1347.002219,1350.080929,1363.897555,1382.700087,1400.314885,1416.365504,1429.63161,1439.769733,1451.359361,1463.414079,1485.791386,1515.857212,1560.742338,1611.64465,1662.811242,1706.360422,1739.222365,1761.975612,1775.980274,1784.548829,1794.205097,1804.590853,1820.43913,1833.370261,1844.68199,1853.286245,1859.12354,1858.054068,1850.790207,1840.550807,1830.477289,1822.837636,1818.192377,1822.903518,1836.397459,1848.342327,1856.980671,1857.442299,1861.053096,1860.631889,1858.492465,1853.904365,1844.18306,1836.573508,1833.60764
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",6,73,1700.01597,1710.797963,1720.938944,1722.617653,1733.247572,1742.33697,1759.895805,1770.900621,1780.38488,1784.878212,1783.223994,1789.738705,1793.713802,1804.899132,1815.718494,1828.386798,1844.514492,1858.176485,1869.048663,1869.99466,1871.638152,1873.73337,1876.752665,1879.85791,1888.116279,1904.970346,1923.297569,1940.376832,1957.043693,1969.566092,1980.621858,1985.481549,1989.286522,1991.172481,1991.854647,1993.258394,2002.62649,2015.152601,2029.854992,2042.501099,2058.803205,2070.493393,2079.445645,2088.486952,2094.953522,2096.152978,2090.010925,2091.752701,2097.715618,2104.888662,2110.710848,2120.478068,2132.681201,2146.471967,2158.861922,2168.779118,2170.354292,2170.977701,2168.520689,2173.991331,2177.544928,2186.336797,2190.40371,2181.524593,2173.082716,2170.241561,2183.779067,2194.929341,2207.664826,2223.374571,2239.602194,2248.911796,2254.993953,2264.410591,2285.290599,2319.777232,2360.003772,2405.164306,2454.613665,2510.840688,2564.67903,2598.283787,2619.744398,2637.560718,2657.586066,2685.536449,2716.547044,2762.111932,2809.036948,2856.093273,2891.76998,2920.667257,2927.645619,2921.397533,2900.912949,2885.56671,2877.260306,2882.9816,2908.842357,2943.663855,2982.325174,3008.274888,3027.181872,3035.209208,3033.045781,3019.007427,2995.634403,2975.0395,2963.970587
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",6,59,1938.504401,1949.066064,1957.594762,1971.621014,1982.608507,1997.013575,2006.927863,2017.027373,2020.09187,2024.738536,2022.714931,2028.123597,2034.808256,2045.702249,2050.386906,2056.24296,2071.537664,2089.520069,2100.859435,2100.575469,2102.515334,2093.098611,2097.622377,2092.403952,2113.510159,2127.085322,2149.195683,2162.559337,2171.909996,2182.087228,2188.476112,2194.112253,2195.334407,2191.829723,2196.160826,2198.223789,2208.66781,2211.960398,2224.505676,2232.857628,2242.112305,2248.319642,2254.428202,2256.299013,2257.90978,2261.021465,2267.099816,2270.327642,2271.844091,2277.349015,2285.32619,2293.330565,2302.168059,2310.492683,2320.53953,2325.300011,2329.338299,2328.614072,2333.65341,2335.650926,2347.276501,2354.120837,2358.290855,2340.232554,2321.927155,,,2329.459432,2344.934088,2360.034874,2372.851974,2383.614108,2395.771549,2411.749932,2431.652523,2453.145001,2481.449142,2528.957689,2603.002904,,2774.770682,2822.81143,2843.859178,2858.425804,2875.9484,2896.977722,2925.331814,2954.900568,2986.381256,3012.764326,3034.629913,3045.723578,3041.821346,3027.621064,3012.250416,2998.171847,2991.067117,2991.73627,3003.100635,3022.084124,3041.638655,3063.907185,3095.207898,3124.462714,3137.101167,3137.246593,3121.508552,3114.91966,3111.534489
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,2248.266416,2261.123825,2280.696883,2302.610708,2324.515857,2356.156008,2374.410448,2384.998138,2397.698582,2407.495261,2399.668732,2373.718175,2361.608908,2365.509615,2382.919473,2390.840481,2397.248717,2411.775758,2427.549515,2440.588912,2442.3115,2439.872518,2438.612559,2426.211923,2418.249664,2407.964532,2413.020236,2422.716369,2438.040845,2453.765261,2469.520114,2483.48904,2482.166069,2463.976483,2443.997205,2431.347516,2431.466664,2431.846197,2445.026554,2462.788459,2483.521522,2498.303517,2509.399091,2519.147944,2518.54309,2510.470841,2495.501681,2482.422487,2484.905905,2496.70194,2519.037475,2535.535176,2559.906342,2577.69106,2599.767623,2615.389893,2629.788991,2633.673283,2628.625249,2619.782977,2620.728045,2631.067033,2647.746264,2640.501641,2621.570938,2590.921829,2567.91797,2533.677589,2486.87689,2443.561359,2413.135278,2393.175229,2388.362565,2392.296151,2417.342726,2448.355978,2486.709917,2535.065492,2587.202701,2641.65635,2691.054235,2714.978879,2737.18358,2743.443545,2774.751963,2808.055224,2858.418291,2907.022067,2966.758719,3031.379388,3090.506839,3132.559232,3140.208788,3129.057797,3087.016334,3056.753751,3045.236613,3059.984954,3077.353343,3105.986407,3143.728311,3188.233766,3219.312616,3235.209406,3242.635031,3225.288816,3186.78556,3156.169611,3154.955669
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,86,1661.80191,1673.065304,1686.194393,1696.574023,1708.58727,1716.332328,1723.178931,1729.122316,1738.431647,1740.43795,1744.823357,1748.996678,1757.602343,1761.308654,1762.663166,1762.316142,1764.211958,1762.922524,1761.566654,1758.646354,1758.142883,1755.395976,1752.217732,1743.331801,1748.139389,1753.178605,1766.057022,1767.187148,1770.650046,1773.03658,1776.115555,1778.60427,1780.54597,1784.798778,1785.240862,1785.967458,1786.788389,1791.081217,1796.450381,1802.492394,1805.515509,1812.067077,1816.486622,1823.045774,1826.016676,1829.533755,1832.199939,1835.429641,1836.411423,1835.870941,1837.732255,1842.901412,1848.820725,1852.508401,1853.361537,1856.815657,1858.3463,1867.436061,1877.567826,1888.113549,1892.328378,1893.505321,1893.406342,1882.138841,1869.856061,1862.86387,1865.350248,1866.44424,1863.901013,1869.093647,1885.092693,1902.509545,1929.757102,1961.684735,2000.173832,2037.487621,2085.517134,,2219.579717,2284.566963,2343.898468,2394.64121,2440.916444,2498.509744,2550.861074,2616.175609,2678.129793,2740.517731,2790.816551,2817.868214,2839.611618,2847.86902,2853.87923,2848.282029,2843.949978,2845.41739,2850.165672,2863.564075,2876.47996,2894.486213,2900.561894,2900.75058,2898.432019,2892.091854,2888.899104,2887.960583,2894.767648,2891.645187,2896.594934
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1091.268516,1094.454728,1101.598622,1115.289972,1128.830451,1138.78376,1147.234256,1149.784406,1151.681909,1153.985213,1159.394318,1163.79944,1165.711651,1170.60486,1178.299097,1188.150318,1196.31597,1205.630191,1210.351064,1212.935399,1211.551654,1208.876836,1212.348053,1213.996138,1229.371021,1235.503481,1250.484524,1257.009065,1269.834503,1274.113698,1279.335893,1279.726269,1280.64405,1278.835233,1285.917568,1290.110145,1294.662037,1300.760263,1304.640852,1309.32058,1309.039093,1320.619323,1325.879207,1330.562989,1324.031647,1327.485835,1328.151606,1332.48148,1335.927529,1340.381949,1349.835093,1358.056155,1366.136571,1377.159549,1380.645974,1384.923082,1383.377844,1382.819327,1378.31577,1372.680127,1376.340035,1382.917483,1390.194338,1388.877983,1385.610346,1384.15556,1384.767334,1387.349329,1390.769237,1395.691296,1399.013512,1401.686631,1399.872295,1404.614562,1413.088942,1435.734272,1463.180503,1496.25146,1529.872676,1559.708325,1584.844308,1597.938207,1609.051049,1615.970463,1631.260329,1647.971715,1661.047492,1681.682812,1705.313199,1741.991936,1764.119142,1773.052455,1767.836054,1753.913393,1740.829666,1728.103786,1724.983074,1728.095608,1737.00566,1746.320269,1755.690282,1765.24775,1771.490188,1772.919134,1768.912034,1761.205948,1755.830771,1747.995389,1744.290503
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,65,1403.994862,1408.225405,1410.619257,1418.3739,1424.625276,1437.54524,1446.798772,1452.786785,1458.473938,1465.466656,1470.839128,1474.922143,1474.44748,1482.780016,1486.515257,1496.319641,1501.833588,1504.133824,1508.164197,1513.196406,1528.744237,1529.105652,1536.001266,1531.646428,1548.406882,1557.140608,1571.592326,1579.390045,1586.609703,1598.099497,1608.794725,1621.447211,1627.62214,1633.324145,1638.687246,1641.347363,1646.808383,1654.535498,1666.720789,1672.413868,1676.831942,1684.721809,1693.482121,1704.686548,1716.362016,1728.477038,1735.294546,1740.3623,1743.467236,1746.281922,1750.850243,1760.564404,1770.665981,1780.158477,1787.323609,1797.85222,1804.991756,1813.278003,1814.618956,1820.86751,1822.699966,1830.9082,1833.926574,1830.251689,1824.659404,1830.528289,1852.168616,1886.60219,1917.927835,1947.609395,1975.844055,1999.01494,2020.912838,2041.793499,2068.315093,2089.396365,2130.003888,2171.180234,2232.492943,2274.655318,2314.585642,2331.63855,2353.757861,2363.520054,2387.917732,2400.583147,2433.249986,2454.4754,2473.693944,2487.849463,2505.803939,2518.547259,2524.821165,2519.595247,2512.809065,2500.507047,2499.060758,2506.100798,2514.423468,2521.445013,2523.481637,2528.162692,2529.371317,2541.246559,2546.341511,2572.547073,2573.45975,2583.124535,2566.704234
1347,10,Queens County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,81,1993.29084,2007.743102,2015.534208,2020.633594,2029.834444,2038.488189,2070.127497,2091.753036,2105.715205,2105.751744,2102.136646,2104.4076,2103.06405,2101.766289,2096.183648,2102.657013,2112.989019,2129.611989,2138.742663,2146.196273,2161.230233,2181.327038,2182.77543,2158.863617,2145.704754,2148.900449,2167.923964,2173.310034,2182.193516,2197.885059,2210.452242,2217.869474,2215.507412,2201.566088,2180.29519,2156.221677,2155.455839,2161.606953,2178.108497,2189.991549,2205.629885,2221.928833,2236.704974,2252.890756,2259.603145,2250.334265,2238.981559,2233.680352,2238.288132,2247.299187,2249.700306,2257.951715,2274.382734,2304.989626,2321.64852,2328.694674,2322.007265,2328.194603,2314.837363,2306.796421,2298.217443,2314.862524,2314.367687,2308.221372,2298.518733,2300.721391,2303.041563,2285.687077,2261.298331,2245.201169,2234.424209,2228.677362,2216.169992,2212.305234,2207.034148,2211.924845,2221.643533,2242.458911,2268.666678,2305.299739,2333.027931,2362.524816,2381.199442,2404.926782,2405.894841,2414.071744,2419.331699,2447.691118,2480.362989,2526.352978,2568.578188,2610.29935,2632.022819,2634.634785,2617.487517,2614.998025,2615.891285,2628.897113,2628.095714,2644.773117,2667.892164,2693.618261,2720.393427,2734.990949,2744.859329,2745.438179,2734.25721,2738.399355,2736.36428
207,11,King County,county,WA,WA,"Seattle-Tacoma-Bellevue, WA",53,33,1487.104228,1502.131849,1524.269113,1535.56689,1553.576336,1568.520932,1585.463836,1597.257009,1600.762144,1601.263085,1582.071779,1583.962098,1592.937095,1621.244136,1631.089254,1648.683519,1673.300997,1697.755067,1711.42202,1708.440272,1706.385836,1694.703945,1681.55744,1673.616056,1691.211892,1720.159388,1753.270817,1769.91857,1791.204497,1806.259136,1818.229459,1822.467707,1815.756161,1805.066502,1785.43582,1776.881807,1778.301153,1791.940156,1807.611073,1822.869708,1839.649281,1854.759826,1861.512547,1859.212139,1850.370043,1837.64945,1831.207859,1827.643378,1836.516638,1848.434579,1865.15271,1883.773424,1898.5564,1914.708515,1925.247141,1931.224369,1928.676264,1918.793608,1912.513127,1914.892939,1930.965551,1946.897125,1967.939575,1966.025675,1960.656429,1944.792624,1941.388083,1930.433179,1903.219232,1864.709529,1828.392142,1798.174508,1793.763323,1801.172396,1831.869947,1866.132914,1912.909178,1965.736409,2019.288811,2062.26818,2086.514856,2086.566517,2079.641146,2071.78167,2079.345555,2098.081024,2126.17689,2155.293109,2188.681588,2223.643768,2250.98384,2259.075345,2247.343455,2223.234792,2192.178989,2167.187492,2157.596812,2165.111109,2185.06398,2200.573019,2220.459275,2235.4737,2250.751957,2258.640738,2254.226965,2241.828258,2223.839255,2215.851076,2221.481036
445,12,Clark County,county,NV,NV,"Las Vegas-Henderson-Paradise, NV",32,3,999.9885668,1004.661903,1010.201276,1017.07483,1024.954455,1031.666774,1036.840845,1040.335214,1043.855984,1043.170713,1042.958179,1042.291772,1044.982825,1048.429513,1052.617447,1060.259149,1068.945966,1080.777201,1085.009438,1087.755382,1086.905205,1087.336241,1086.751317,1085.488384,1091.224032,1098.49655,1109.230721,1116.512298,1124.47253,1133.175967,1141.083257,1146.842926,1150.456267,1151.370367,1153.427686,1155.710719,1160.965265,1169.094993,1180.072215,1194.019447,1205.563311,1214.248891,1221.655277,1227.702569,1233.176195,1235.35894,1239.079319,1240.877423,1246.063086,1250.382229,1261.532875,1273.025391,1285.90562,1294.292097,1301.095894,1305.815766,1307.928636,1305.939341,1305.304413,1302.917083,1305.809515,1311.331011,1319.678748,1314.768291,1310.537568,1311.02643,1328.199115,1345.678061,1363.480878,1378.077439,1387.580382,1394.002091,1402.843366,1417.226206,1434.158585,1461.284869,1504.494542,1559.514411,1609.843366,1655.689269,1689.165263,1714.3023,1719.687484,1721.161468,1724.927164,1733.606092,1746.028498,1756.893676,1771.874471,1786.456916,1801.026556,1792.789877,1777.346867,1747.789373,1729.692661,1712.837642,1711.985874,1716.20881,1728.959853,1737.153204,1749.408749,1756.408911,1761.130189,1760.341569,1755.530173,1756.745979,1751.884043,1749.817305,1745.260473
3250,13,San Bernardino County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",6,71,1310.369025,1311.916944,1317.863994,1323.287989,1332.469674,1339.704379,1348.361655,1358.80868,1368.350353,1372.292284,1371.30099,1373.57143,1379.327667,1388.955739,1397.28621,1409.657209,1421.078374,1427.567807,1431.018002,1436.450921,1441.817237,1444.695397,1442.766055,1444.619043,1452.640819,1461.678518,1472.483172,1483.330908,1494.316265,1507.089813,1515.374157,1524.617614,1524.75746,1531.536281,1536.174123,1543.79732,1542.970002,1550.380467,1563.271534,1579.23206,1592.732309,1606.885157,1617.203605,1625.638851,1624.371144,1626.394111,1626.754843,1631.384869,1640.471108,1649.27971,1659.975183,1666.686017,1674.948147,1683.402636,1692.543517,1699.190925,1702.270517,1703.281563,1700.665307,1702.683066,1707.864857,1718.220932,1725.669238,1723.821001,1727.242945,1740.830942,1767.899694,1799.332258,1830.916271,1855.221644,1872.503482,1883.753566,1898.92668,1923.523104,1952.688142,1993.524486,2033.819737,2077.918964,2126.244167,2166.914072,2195.054713,2194.832536,2194.848245,2206.70007,2226.673481,2251.459247,2272.428283,2304.703219,2329.566265,2351.020421,2363.605413,2360.963516,2355.616543,2339.009541,2339.328724,2338.505355,2341.198874,2346.173482,2359.491636,2379.185934,2395.219791,2406.244889,2409.305175,2409.907373,2406.610075,2411.575549,2412.97955,2403.71723,2400.704013
2049,14,Tarrant County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,439,1066.352153,1071.946722,1078.510312,1087.690196,1095.416936,1102.565055,1107.322362,1109.998439,1111.536202,1111.724373,1113.905193,1116.215147,1118.357588,1123.568096,1133.114055,1145.742465,1154.080983,1159.185841,1162.85617,1164.97445,1165.933415,1166.404451,1166.568885,1168.107598,1174.325701,1182.709219,1195.756912,1201.569475,1212.369569,1219.545927,1228.970599,1235.067756,1233.676144,1233.883899,1233.250961,1235.412185,1239.515468,1245.268356,1254.785917,1264.953314,1271.950125,1278.930712,1281.276352,1285.004172,1285.971735,1290.18854,1292.717135,1296.299644,1297.411932,1299.913884,1312.905659,1324.772793,1335.991671,1335.897332,1339.565438,1339.581788,1338.768882,1336.475712,1334.963539,1334.167377,1333.714392,1342.037468,1351.90725,1355.457747,1354.944454,1358.349068,1366.676229,1377.003333,1382.498763,1388.77054,1392.295014,1395.123146,1401.235159,1407.6008,1420.313983,1436.429762,1460.927738,1489.152387,1516.339199,1541.708934,1558.775567,1574.225422,1586.759183,1601.272765,1611.45677,1621.135358,1635.162619,1653.277072,1675.366369,1695.796102,1713.207768,1720.56895,1716.904917,1711.444358,1704.941785,1702.071571,1704.201051,1710.219618,1721.480303,1722.458996,1729.571089,1736.218599,1751.618656,1753.249094,1749.19764,1739.824181,1735.34768,1727.132868,1724.118867
386,15,Bexar County,county,TX,TX,"San Antonio-New Braunfels, TX",48,29,968.7972226,973.2883648,979.3583958,987.8463065,995.813228,1003.278909,1003.988319,1002.528113,1002.078538,1006.50382,1008.927116,1009.523138,1009.763652,1012.79157,1019.787495,1027.68175,1033.518053,1037.146033,1039.747812,1041.83295,1040.946893,1036.443327,1035.027366,1036.071988,1044.212453,1050.638233,1057.669487,1062.059052,1066.890767,1074.553385,1078.149233,1077.980783,1074.069274,1070.507119,1068.547939,1068.500024,1070.258979,1074.376326,1080.375764,1085.918849,1091.607525,1096.854325,1103.130333,1108.05974,1108.575178,1109.107568,1107.588934,1107.205317,1107.211192,1111.599455,1117.770129,1124.596884,1129.867774,1135.427788,1140.805958,1148.797462,1151.617523,1150.178857,1142.484396,1140.872184,1141.145435,1146.117691,1149.601091,1151.222256,1150.556444,1151.18969,1156.684412,1162.47106,1166.608795,1167.430548,1168.519344,1169.993483,1170.67668,1173.403876,1179.986377,1195.024173,1213.286887,1234.27507,1258.815449,1283.825091,1304.255511,1314.799283,1320.039771,1326.899427,1333.03883,1341.982663,1352.518422,1365.244888,1380.551234,1391.466842,1405.865418,1408.867471,1407.059409,1396.140943,1390.263497,1388.443914,1394.566343,1398.19299,1406.734066,1408.835808,1413.08153,1412.155242,1414.083537,1413.41567,1409.560337,1401.224766,1394.666842,1389.732401,1387.045953
3136,16,Santa Clara County,county,CA,CA,"San Jose-Sunnyvale-Santa Clara, CA",6,85,2493.685172,2503.871656,2522.099111,2563.631798,2617.665079,2671.255632,2703.816498,2716.386677,2709.1901,2704.173256,2698.918831,2695.153416,2694.957631,2707.464533,2727.170979,2733.876641,2762.249954,2765.120495,2774.450478,2741.373548,2723.707325,2687.928529,2674.375498,2661.487225,2697.373924,2721.238881,2763.963483,2776.684774,2809.748758,2834.007248,2850.689756,2849.20677,2840.850834,2830.837418,2824.538606,2817.112088,2824.837058,2844.617677,2870.21146,2896.156205,2911.651211,2931.7962,2942.698178,2950.251738,2939.719588,2923.903307,2912.697929,2908.207863,2914.674168,2920.729668,2940.652385,2956.821174,2978.110794,2993.037719,3009.037756,3014.198782,3006.656958,2994.724632,2980.694461,2987.165393,2987.429723,3001.77967,3010.362796,3009.707437,2993.807904,2963.820435,2932.793748,2896.787576,2861.742178,2818.25431,2790.473642,2760.330664,2748.773995,2744.792707,2760.147657,2790.888173,2835.203096,2873.281721,2920.789938,2953.362044,2977.739504,2980.799231,2969.269221,2967.803055,2983.65664,3014.100499,3045.789542,3085.583295,3128.65404,3183.130435,3221.078765,3241.142482,3234.927027,3205.336568,3171.785853,3144.970473,3142.678257,3151.700305,3171.570123,3187.895832,3209.186758,3224.051589,3237.607819,3239.821795,3231.713813,3209.418394,3181.330171,3168.929272,3182.242724
1561,17,Broward County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,11,1399.942138,1405.051199,1409.683144,1418.610924,1425.785431,1434.241882,1441.940622,1447.487984,1458.065365,1463.757964,1473.165271,1472.824697,1478.845505,1484.734959,1493.476892,1497.764438,1499.119688,1499.028812,1501.557165,1508.250052,1516.591399,1518.791558,1520.907171,1519.436655,1525.624304,1529.226695,1538.186579,1543.007386,1548.408553,1553.201288,1558.441669,1564.767627,1569.230998,1575.238164,1574.991838,1578.394167,1581.431951,1588.480655,1594.744705,1599.670557,1605.958398,1610.967125,1616.254164,1619.390173,1623.30363,1627.462001,1636.178047,1639.803723,1641.447268,1646.564743,1651.470734,1656.845744,1657.568405,1663.335333,1668.150355,1671.456136,1675.355915,1681.794386,1688.259654,1693.19281,1697.103312,1705.232018,1711.316253,1710.930275,1704.34718,1706.557875,1710.517857,1717.646339,1720.302945,1735.120097,1748.874155,1765.258611,1774.086371,1792.162127,1809.115447,1835.17838,,,,,2089.778626,2123.572876,2159.703315,2200.183124,2247.045182,2267.541617,2305.268161,2331.091189,2377.746885,2400.39337,2423.321968,2431.821089,2438.510923,2439.822559,2440.077226,2444.85473,2447.833511,2452.475736,2464.69727,2475.64151,2494.270802,2511.776642,2523.828172,2527.77437,2524.470532,2528.630206,2530.914469,2526.046018,2523.464082
